"feature","importance"
"`400416_Total.Flow_lag1`",3.94649751624796
"sum_precip",3.33273869109892
"sum_iconrain",3.10209596778503
"sum_preciptyperain",2.94001587303287
"sc_preciptyperain",2.5448388631723
"sc_precipprob",2.36463006519706
"sc_iconrain",2.31261981850128
"sc_preciptype",2.28840206032864
"`405281_Total.Flow_lag1`",2.23785908658195
"`403329_AVG.Occupancy_lag1`",2.05029072837374
"scl_sealevelpressure",1.91298517364492
"`400240_Total.Flow_lag1`",1.71480417487486
"scl_sealevelpressure_lag24",1.58343219405731
"`400298_Total.Flow_lag1`",1.54031023460616
"`400073_Total.Flow_lag1`",1.43018313491973
"`405281_AVG.Occupancy_lag1`",1.41231761869411
"`400715_Total.Flow_lag1`",1.1672206145696
"`404370_Total.Flow_lag1`",0.947636618008308
"sum_solarenergy_lag24",0.890433234767689
"`403475_AVG.Occupancy_lag1`",0.860969525966196
"scl_windgust",0.855044779567553
"scl_iconrain",0.761114155729468
"`400154_AVG.Occupancy_lag1`",0.724273650712621
"`400298_AVG.Speed_lag2`",0.721694364948884
"`400108_AVG.Speed_lag1`",0.677266740486112
"`403329_AVG.Speed_lag2`",0.661378111054146
"`400073_AVG.Occupancy_lag1`",0.644390229500454
"`405586_AVG.Speed_lag3`",0.593228592461312
"sum_windgust",0.586491037297765
"scl_precip_lag24",0.556915367572718
"sum_windgust_lag24",0.5526215839117
"sc_temp_lag24",0.551892901083874
"`400298_AVG.Speed_lag3`",0.532806534960783
"`405586_AVG.Speed_lag1`",0.522618732722727
"`400221_AVG.Occupancy_lag1`",0.506522362874572
"sc_dew_lag24",0.492909385286733
"`405279_AVG.Speed_lag3`",0.476836207672671
"`400832_AVG.Occupancy_lag3`",0.473960092121981
"`405586_Total.Flow_lag1`",0.458119739247301
"`400240_AVG.Speed_lag3`",0.456095150255285
"`404365_AVG.Speed_lag1`",0.451208094559894
"`403475_AVG.Speed_lag1`",0.449762737840072
"`405586_AVG.Speed_lag2`",0.437224481987793
"`400715_AVG.Occupancy_lag1`",0.436139293022422
"`400298_AVG.Occupancy_lag1`",0.428598275404964
"`404370_AVG.Occupancy_lag1`",0.427817484497461
"`400108_Total.Flow_lag1`",0.413491427498575
"sum_humidity_lag24",0.408215543006353
"`405279_Total.Flow_lag1`",0.404971393297004
"`405279_AVG.Occupancy_lag3`",0.401640225190007
"scl_windgust_lag24",0.39916318972453
"`400832_AVG.Speed_lag2`",0.398100694554178
"`405586_AVG.Occupancy_lag3`",0.39623832287777
"`403471_Total.Flow_lag1`",0.389950057637261
"`405279_AVG.Occupancy_lag1`",0.389870457538361
"`400073_AVG.Speed_lag2`",0.383835731582866
"scl_preciptyperain",0.375898835143202
"`400240_AVG.Speed_lag2`",0.368996916771479
"scl_uvindex_lag24",0.362645116952311
"sum_winddir",0.359898544446785
"`400221_AVG.Occupancy_lag2`",0.357338367529218
"`404378_AVG.Occupancy_lag1`",0.356755671765866
"`400108_Total.Flow_lag3`",0.340184337106962
"`400108_AVG.Speed_lag2`",0.338448842638796
"`400715_AVG.Speed_lag1`",0.332374939822306
"sum_windspeed_lag24",0.331873722866796
"`403471_AVG.Speed_lag3`",0.32608831387101
"scl_winddir_lag24",0.322911900171775
"`400649_AVG.Speed_lag1`",0.312393354119354
"scl_winddir",0.311558632097765
"`405281_AVG.Speed_lag3`",0.311049972407697
"`400715_AVG.Speed_lag2`",0.298201307908933
"`404365_AVG.Occupancy_lag3`",0.297363957759105
"`400832_AVG.Speed_lag1`",0.297095423420889
"`400154_AVG.Speed_lag1`",0.29486025966951
"scl_cloudcover",0.28980456476872
"`400416_AVG.Speed_lag1`",0.28764617324347
"sum_windspeed",0.287033638108717
"`403329_AVG.Speed_lag3`",0.283180085212166
"`400832_Total.Flow_lag1`",0.280620663815706
"`403471_AVG.Occupancy_lag1`",0.27377183290949
"`405586_AVG.Occupancy_lag1`",0.272388204560455
"`400832_AVG.Occupancy_lag1`",0.267395479263186
"`400715_AVG.Speed_lag3`",0.266620880215746
"`404365_AVG.Occupancy_lag1`",0.260613768380382
"`405281_AVG.Speed_lag1`",0.258113229485352
"`405279_AVG.Speed_lag1`",0.255671492203495
"`404365_Total.Flow_lag1`",0.254882743353958
"`400298_AVG.Speed_lag1`",0.24996583841343
"`400278_AVG.Occupancy_lag3`",0.247612388796964
"`400100_AVG.Speed_lag2`",0.243401905971559
"`405279_AVG.Occupancy_lag2`",0.241729898982182
"`400108_AVG.Speed_lag3`",0.241006999459412
"`405281_AVG.Speed_lag2`",0.23751741200299
"`400154_AVG.Occupancy_lag3`",0.235983105691379
"`400100_AVG.Speed_lag3`",0.234075866494725
"sc_humidity",0.232546630584811
"`403475_AVG.Speed_lag2`",0.227954745648074
"`400649_Total.Flow_lag1`",0.226250848058997
"`400221_AVG.Occupancy_lag3`",0.225533161853691
"`404370_AVG.Speed_lag1`",0.225340682254825
"`403329_AVG.Speed_lag1`",0.224567886851812
"sc_dew",0.221296169000159
"`400649_AVG.Occupancy_lag2`",0.218634013878458
"`400073_AVG.Speed_lag1`",0.217488855727269
"`404378_AVG.Occupancy_lag3`",0.210637829549041
"`403475_AVG.Speed_lag3`",0.210222256719868
"`400100_AVG.Speed_lag1`",0.205272317145631
"sum_winddir_lag24",0.202855509611473
"`404378_AVG.Speed_lag1`",0.199349410253118
"`404365_AVG.Speed_lag3`",0.19535739610794
"`400240_AVG.Speed_lag1`",0.192397393224873
"`403471_AVG.Occupancy_lag2`",0.191756792005867
"`400154_AVG.Speed_lag3`",0.190772546705228
"`400416_AVG.Speed_lag3`",0.189051065480891
"`404365_AVG.Speed_lag2`",0.18869935524567
"`405279_AVG.Speed_lag2`",0.186403964193603
"`400416_Total.Flow_lag3`",0.184863741043461
"ind_sjsu_grad",0.184001129622409
"`403471_AVG.Occupancy_lag3`",0.183482351716972
"`404378_AVG.Speed_lag2`",0.182286997198106
"`403471_AVG.Speed_lag1`",0.17747385530458
"`400832_AVG.Speed_lag3`",0.177207687356431
"`403329_AVG.Occupancy_lag3`",0.176570598842083
"`400108_AVG.Occupancy_lag1`",0.174888893691994
"`400278_AVG.Speed_lag1`",0.174426096838148
"`400649_AVG.Speed_lag2`",0.173380599433142
"`400073_AVG.Occupancy_lag2`",0.173290488452169
"`404370_AVG.Speed_lag2`",0.172687489980994
"`405586_AVG.Occupancy_lag2`",0.170042064621749
"`404378_AVG.Speed_lag3`",0.165441431190262
"`400154_AVG.Speed_lag2`",0.162983843061773
"`404378_AVG.Occupancy_lag2`",0.159771939520939
"`400436_AVG.Speed_lag1`",0.157962986485096
"`400221_AVG.Speed_lag2`",0.154880506744399
"`403329_AVG.Occupancy_lag2`",0.154688589377286
"sc_winddir_lag24",0.153548849636283
"`400154_AVG.Occupancy_lag2`",0.14793855843036
"`400278_AVG.Occupancy_lag1`",0.143310834301045
"`400416_AVG.Speed_lag2`",0.137237209703648
"`404365_AVG.Occupancy_lag2`",0.133289542678264
"`404370_AVG.Occupancy_lag2`",0.122386809956668
"`400278_AVG.Speed_lag2`",0.121739996675616
"ind_memorial",0.119743123130291
"`404365_Total.Flow_lag3`",0.116550485743792
"`400278_AVG.Speed_lag3`",0.116269597361329
"`400436_AVG.Speed_lag3`",0.115947136244527
"`400073_AVG.Occupancy_lag3`",0.11424005065947
"`400278_AVG.Occupancy_lag2`",0.111057291861897
"`405281_AVG.Occupancy_lag3`",0.109150272297521
"`403471_AVG.Speed_lag2`",0.106716120786111
"sum_visibility",0.106624782969082
"`400073_AVG.Speed_lag3`",0.104357561861583
"scl_cloudcover_lag24",0.103186962458777
"`400832_AVG.Occupancy_lag2`",0.101110766672439
"`404370_AVG.Speed_lag3`",0.0979690874447972
"scl_iconpartly-cloudy-day",0.0941900685145939
"`400649_AVG.Speed_lag3`",0.0933682659000709
"`405281_AVG.Occupancy_lag2`",0.0926453824772673
"`400221_AVG.Speed_lag3`",0.089917756237603
"`404370_AVG.Occupancy_lag3`",0.0856042333446227
"scl_visibility",0.0852346417464736
"sc_winddir",0.0771560373946364
"`400221_AVG.Speed_lag1`",0.0757202995041545
"`400436_AVG.Speed_lag2`",0.0673784122257848
"scl_visibility_lag24",0.0634509970945403
"ind_new_years",0.0634282436707585
"hour13",0.0545979507295665
"sc_visibility_lag24",0.0536354004127566
"scl_icon_lag24cloudy",0.0402006728842687
"scl_conditionsRain, Overcast",0.0322585097124865
"month9",0.0314974313760145
"sum_conditions_lag24Overcast",0.0311033604215746
"sum_conditionsRain, Overcast",0.0298794800662485
"hour9",0.0296647242284177
"hour6",0.0295044643986321
"sc_iconcloudy",0.0294494378933842
"sc_conditionsRain, Overcast",0.0287491138284592
"day_of_week7",0.0270670106108408
"sum_conditions_lag24Rain, Overcast",0.023425791234508
"scl_conditionsOvercast",0.0229980055627499
"hour2",0.0218245403781386
"scl_conditionsRain",0.0204179106516622
"hour10",0.0203128979018026
"hour8",0.018613880344041
"scl_iconcloudy",0.0185233981811019
"sum_conditionsRain, Partially cloudy",0.017994168200264
"hour16",0.0166972385226957
"sc_conditionsOvercast",0.0166453734146123
"sum_conditions_lag24Partially cloudy",0.012153601953602
"ind_covid_lockdown1",0.0115392575992444
"scl_precipprob_lag24",0.0114220145115096
"scl_conditionsRain, Partially cloudy",0.0111613221727416
"year2019",0.0105342335545432
"sc_conditionsRain, Partially cloudy",0.0104925004537871
"hour19",0.0101904479463788
"ind_presidents",0.00972140568380842
"hour21",0.00940159688393575
"sum_conditionsOvercast",0.00887384606166346
"sum_iconcloudy",0.00852208803816529
"hour22",0.00831805709746855
"hour12",0.00819857616287133
"hour17",0.0079994530028097
"ind_mlk",0.00792679269710345
"month5",0.00746632399057852
"day_of_week6",0.006868943520584
"hour11",0.00676100992294869
"day_of_week2",0.006541964997965
"hour20",0.00653968594291153
"year2016",0.00631949400911819
"month10",0.00625675622415851
"month12",0.00625125467922396
"month6",0.00598205717578993
"hour5",0.00562047479426771
"scl_icon_lag24rain",0.0054544510962127
"year2018",0.00529769539318755
"day_of_week5",0.00521523467873047
"hour23",0.00503894712087424
"day_of_week4",0.00502409017536136
"sc_conditionsPartially cloudy",0.00482977841892657
"hour4",0.00462607536492966
"sum_conditions_lag24Rain, Partially cloudy",0.00395623263917364
"scl_icon_lag24partly-cloudy-night",0.00382893517463081
"scl_icon_lag24partly-cloudy-day",0.00356875558788905
"scl_conditionsPartially cloudy",0.00332973593789185
"ind_thanksgiving",0.00329182441156509
"sum_iconpartly-cloudy-night",0.0031755551488233
"ind_covid_partial",0.0030650376367428
"sc_iconclear-night",0.00297777777777778
"sum_iconpartly-cloudy-day",0.00281437605544892
"ind_christmas",0.00270079136432538
"year2020",0.00266071428571429
"month3",0.00221547619047619
"month4",0.0021809186147186
"ind_ucsc_grad",0.00215252024183504
"year2017",0.00210833333333333
"ind_thanksgiving_break",0.00205347593582887
"sc_iconpartly-cloudy-day",0.00204444444444444
"hour7",0.00199677521962928
"month11",0.00191561044866399
"ind_juneteenth",0.00184894653534357
"hour15",0.00170953711477268
"year2015",0.00168888888888889
"sc_iconpartly-cloudy-night",0.00157613734754061
"month2",0.00140267558528428
"ind_covid_lockdown2",0.00136811615102597
"ind_veterans",0.0012698869200437
"ind_sj_hs_grad",0.00104461678832117
"scl_icon_lag24clear-night",0.000891646258503403
"hour1",0.00088
"month7",0.000689778512396697
"scl_iconclear-night",0.000571428571428571
"hour14",0.000353317654199225
"sc_preciptyperain,snow",0
"sc_conditionsRain",0
"sc_conditionsSnow, Rain",0
"sc_conditionsSnow, Rain, Partially cloudy",0
"sc_iconfog",0
"scl_iconfog",0
"scl_iconpartly-cloudy-night",0
"scl_iconwind",0
"sum_conditionsPartially cloudy",0
"sum_conditionsRain",0
"sum_iconclear-night",0
"sum_iconfog",0
"hour3",0
"hour18",0
"day_of_week3",0
"month8",0
"year2021",0
"year2022",0
"year2023",0
"year2024",0
"year2025",0
"ind_independence",0
"ind_labor",0
"ind_columbus",0
"ind_easter",0
"ind_covid_gradual",0
"ind_covid_reopen",0
"scl_icon_lag24fog",0
"scl_icon_lag24wind",0
"sum_conditions_lag24Rain",0
